video_id,titulo,data_publicacao,descricao,visualizacoes,curtidas,comentarios,channel_id,channel_title,url,data_coleta,politico,partido,cargo
FIoblo8nnPg,Assista a minha entrevista na CNN e veja o que eles tentam esconder de você.,2025-07-16T14:23:16Z,Se inscreva no canal: https://www.youtube.com/@UC8hGUtfEgvvnp6IaHSAg1OQ,245551,27689,6216,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=FIoblo8nnPg,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
t3Sdu_2qohQ,"NÃO PERCA NADA! TRATEI DE TODOS OS ASSUNTOS; TAXAÇÃO CONDENAÇÃO, QUEM SERÁ O PRÓXIMO PRESIDENTE?",2025-07-15T22:11:56Z,Se inscreva no canal: https://www.youtube.com/@UC8hGUtfEgvvnp6IaHSAg1OQ,186334,35042,4934,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=t3Sdu_2qohQ,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
KATtKTC_ios,Minha condenação também condenará o Brasil!,2025-07-15T14:41:45Z,Se inscreva no canal: https://www.youtube.com/@UC8hGUtfEgvvnp6IaHSAg1OQ,104814,17702,3625,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=KATtKTC_ios,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
tfoGxSPVWDo,Censura? Não nos EUA! Advogado de Trump manda recado duro para Moraes.,2025-07-14T17:05:13Z,Se inscreva no canal: https://www.youtube.com/@UC8hGUtfEgvvnp6IaHSAg1OQ,48236,10168,967,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=tfoGxSPVWDo,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
ZJtLythyh-Y,Lentidão (Lula) x Prioridades (Bolsonaro):,2025-07-14T13:20:53Z,"- Durante o governo Bolsonaro, iniciou-se a construção de diversas “pontes” e suas continuidades: reformas estruturais, redução de impostos como o IOF, desburocratização, fortalecimento do agronegócio e entrega de títulos de terra. Essas pontes estavam quase completas - muitas precisavam apenas das cabeceiras para conectar definitivamente o progresso ao povo.

- E não foram apenas metáforas. Como exemplo, duas importantes pontes físicas foram entregues no governo Bolsonaro: a Ponte do Abunã, que finalmente ligou o Acre ao restante do país por terra, e a nova Ponte do Rio São Francisco, em Xique-Xique (BA), que trouxe desenvolvimento para o sertão baiano. Obras concretas, aguardadas por décadas, que hoje beneficiam milhares de brasileiros.

- Mas, com a mudança de governo, muitas cabeceiras dessas pontes - físicas e simbólicas- caminham a passos de tartaruga. O governo Lula optou por manter a velha “indústria das balsas”: cara, lenta, dependente e controlada. A travessia continua, mas sempre sob o comando de quem lucra com a dependência. A ponte virou símbolo do desperdício e da escolha deliberada por manter o povo refém de soluções paliativas, quando a travessia definitiva já está ao alcance.",37529,4874,409,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=ZJtLythyh-Y,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
9t1L4dBcTB0,Bia Kicis Entra em Confronto com Deputada do PSOL e Sai em Defesa de Jair e Eduardo Bolsonaro!,2025-07-10T16:01:29Z,Se inscreva no canal: https://www.youtube.com/@UC8hGUtfEgvvnp6IaHSAg1OQ,24256,6074,945,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=9t1L4dBcTB0,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
Snacs_aNo8s,"Em vídeo, aliado de Trump denuncia supostas ilegalidades cometidas por Alexandre de Moraes no STF.",2025-07-09T22:00:28Z,Se inscreva no canal: https://www.youtube.com/@UC8hGUtfEgvvnp6IaHSAg1OQ,29867,7026,439,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=Snacs_aNo8s,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
3Vxbiex6lyE,"A entrevista completa de Eduardo Bolsonaro no SBT: bastidores, política e família",2025-07-08T21:30:01Z,Se inscreva no canal: https://www.youtube.com/@UC8hGUtfEgvvnp6IaHSAg1OQ,20063,5149,333,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=3Vxbiex6lyE,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
Ix7Y7sIhv-E,URGENTE: TRUMP SAI EM DEFESA DE BOLSONARO.,2025-07-07T16:56:06Z,,42012,10928,1072,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=Ix7Y7sIhv-E,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
nJ2ybGWOY58,Trump: “Deixem Bolsonaro em paz!”,2025-07-07T16:47:24Z,"- Recebi com muita alegria a nota do Presidente Donald Trump . Convivi por dois anos com o Pres. Trump, onde sempre defendemos os interesses dos nossos povos e a liberdade de todos.

- Este processo ao qual respondo é uma aberração jurídica (Lawfare), clara perseguição política, já percebida por todos de bom senso.

- Agradeço ao ilustre Presidente e amigo. V. Exa. passou por algo semelhante. Foi implacavelmente perseguido, mas venceu para o bem dos Estados Unidos e dezenas de outros países verdadeiramente democráticos.

- Sua luta por paz, justiça e liberdade ecoa por todo o planeta. Obrigado por existir e nos dar exemplo de fé e resiliência.

- Jair Bolsonaro.",77600,9439,639,UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,https://www.youtube.com/watch?v=nJ2ybGWOY58,2026-08-12,Jair Bolsonaro,PL,Ex-presidente
