video_id,titulo,data_publicacao,descricao,visualizacoes,curtidas,comentarios,channel_id,channel_title,url,data_coleta,politico,partido,cargo
YbIEeOXzNBA,Brasil avança na soberania digital e na inteligência artificial,2026-08-12T02:59:21Z,"O Brasil está construindo sua soberania digital.

Hoje, reunimos especialistas para discutir inteligência artificial, dados, infraestrutura e os caminhos para o país desenvolver suas próprias capacidades em tecnologias estratégicas.

O Plano Brasileiro de Inteligência Artificial já prevê R$ 23 bilhões até 2028, com mais de R$ 14 bilhões executados nos últimos dois anos.

Soberania também é ter tecnologia para decidir o nosso próprio futuro. 🇧🇷🤖",1434,425,21,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=YbIEeOXzNBA,2026-08-12,Lula,PT,Presidente
2t2bmVh_wZ4,Presidente Lula participa de reunião sobre Soberania Digital,2026-08-11T23:03:27Z,"SIGA O LULA!

http://www.facebook.com/Lula
https://bsky.app/profile/lula.com.br
http://www.instagram.com/LulaOficial
https://t.me/LulanoTelegram

Acesse nosso site: http://www.lula.com.br",11438,1629,114,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=2t2bmVh_wZ4,2026-08-12,Lula,PT,Presidente
eSGnePETwjA,Educação muda o futuro!,2026-08-11T21:20:33Z,"Foi para ampliar oportunidades que criamos o Prouni, as cotas e expandimos os Institutos Federais e as universidades. Para que jovens da periferia, estudantes de escolas públicas e pessoas negras e indígenas também possam ocupar esses espaços e transformar suas vidas.

O filho dos mais pobres tem que ter as mesmas oportunidades que o filho dos mais ricos. Todo mundo tem que ter a mesma chance.",5176,1306,117,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=eSGnePETwjA,2026-08-12,Lula,PT,Presidente
zMFNh9ZQu_M,11 de agosto de 2026,2026-08-11T17:59:42Z,,4943,1191,99,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=zMFNh9ZQu_M,2026-08-12,Lula,PT,Presidente
HXX_0MLR9n4,"Dia 16, a gente se encontra na Vila Euclides",2026-08-11T11:48:58Z,"Dia 16 de agosto, às 9h, faço um convite especial: vamos nos encontrar na Vila Euclides, em São Bernardo do Campo, palco de uma parte importante da luta dos trabalhadores e da democracia brasileira.

Vai ser um reencontro com essa história. Espero todo mundo lá. ❤️✊🏽",6652,1648,155,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=HXX_0MLR9n4,2026-08-12,Lula,PT,Presidente
Cg2nbOwuwXs,Cuidar do povo brasileiro é a nossa luta,2026-08-10T20:57:05Z,,6620,1247,125,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=Cg2nbOwuwXs,2026-08-12,Lula,PT,Presidente
Mbc9ptUUWHE,10 de agosto de 2026,2026-08-10T18:42:36Z,,17657,1769,102,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=Mbc9ptUUWHE,2026-08-12,Lula,PT,Presidente
Ad69OFntaFs,Lula 1001 utilidades,2026-08-10T14:25:22Z,,11180,1494,128,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=Ad69OFntaFs,2026-08-12,Lula,PT,Presidente
xGmn8tyVRYw,Nunca antes o Brasil teve tanto acesso à saúde pelo SUS,2026-08-10T11:49:09Z,"Nunca antes na história deste país os brasileiros tiveram tanto acesso à saúde. São 41 medicamentos gratuitos pelo Farmácia Popular, mais médicos e especialistas pelo Agora Tem Especialistas, além de hospitais federais e mais cirurgias para quem precisa.

É o SUS chegando cada vez mais perto de quem mais precisa e cuidando da saúde de todo o povo brasileiro. ❤️🇧🇷",11604,1825,91,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=xGmn8tyVRYw,2026-08-12,Lula,PT,Presidente
rPUMDGOYd4E,Paz se garante com soberania,2026-08-09T19:55:42Z,"🇧🇷 ⭐ O Brasil que cuidou do básico agora está pronto para dar um salto de qualidade.

Com soberania, defesa e respeito ao nosso povo, vamos construir o próximo capítulo dessa história. É hora de um Brasil ainda mais forte e preparado para o futuro.",9381,1647,146,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=rPUMDGOYd4E,2026-08-12,Lula,PT,Presidente
WWcejt9UXDc,O Brasil é a minha causa. O povo é a minha causa.,2026-08-09T18:10:55Z,"O Brasil é a minha causa. O povo é a minha causa.

Dia 16, às 9h, Vila Euclides, onde tudo começou, vamos juntos fazer história. Vamos mostrar que o Brasil está pronto para mais! 🇧🇷",17668,3097,311,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=WWcejt9UXDc,2026-08-12,Lula,PT,Presidente
zftIEEgp2Fk,"Onde começou a nossa luta, começa um novo capítulo",2026-08-09T16:28:52Z,"No dia 16, domingo de manhã, quero fazer um convite especial para vocês: vamos nos encontrar no Estádio da Vila Euclides, onde tudo começou.

Um reencontro com a nossa história e com a nossa luta. ❤️✊🏽",21973,1979,127,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=zftIEEgp2Fk,2026-08-12,Lula,PT,Presidente
-C6m-0jwEkg,Todo brasileiro merece um casa pra chamar de ninho,2026-08-08T21:18:28Z,"Eu sei o que significa não ter uma casa digna para morar.

Por isso, para mim, enquanto houver um único brasileiro sonhando com a casa própria, a gente vai continuar trabalhando para transformar esse sonho em realidade. 
🏠❤️🇧🇷",16840,2284,184,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=-C6m-0jwEkg,2026-08-12,Lula,PT,Presidente
Mo194qCwNPo,"2,5 milhões de moradias pelo Minha Casa, Minha Vida 🏠",2026-08-08T20:19:56Z,"Nosso governo já alcançou a marca de 2,6 milhões de moradias contratadas pelo Minha Casa, Minha Vida, ampliando o acesso à casa própria para quem mais precisa.

Porque uma casa é muito mais do que um teto. Cada família que deixa o aluguel conquista segurança e ganha um novo começo. 🏠❤️",23658,2212,144,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=Mo194qCwNPo,2026-08-12,Lula,PT,Presidente
Uu-Sc1bPGNw,"Presidente Lula participa do encontro do MTST, em Taboão da Serra (SP)",2026-08-08T15:40:14Z,"SIGA O LULA!

http://www.facebook.com/Lula
https://bsky.app/profile/lula.com.br
http://www.instagram.com/LulaOficial
https://t.me/LulanoTelegram

Acesse nosso site: http://www.lula.com.br",40959,4316,361,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=Uu-Sc1bPGNw,2026-08-12,Lula,PT,Presidente
G9JHQ6UkBM0,O Ministério do Namoro começa pelo Brasil Sorridente,2026-08-08T11:51:54Z,"🦷❤️ O Ministério do Namoro começa pelo Brasil Sorridente.

Mais saúde, autoestima e dignidade para quem precisa. E já são 830 vans levando atendimento odontológico por todo o Brasil.",17739,2497,144,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=G9JHQ6UkBM0,2026-08-12,Lula,PT,Presidente
4QvFS9fnTyI,Como o PROUNI transformou a vida do André e de sua família | Educação que muda destinos,2026-08-07T23:05:50Z,"Um dos meus maiores prazeres é conhecer jovens que transformaram suas vidas por meio do PROUNI.

Hoje, no INPE, conheci o André, que se formou em Engenharia e viu outros jovens da sua família também conquistassem um diploma universitário.

É isso que a educação faz: muda a vida de quem estuda e cria oportunidades para as próximas gerações. 📚",13755,2352,186,UCvO2BExvkAbGMsTGnEnI_Ng,Lula,https://www.youtube.com/watch?v=4QvFS9fnTyI,2026-08-12,Lula,PT,Presidente
