video_id,titulo,data_publicacao,descricao,visualizacoes,curtidas,comentarios,channel_id,channel_title,url,data_coleta,politico,partido,cargo
r1fjCmJt1kc,Metas da Missão,2026-08-12T12:00:08Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",751,228,16,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=r1fjCmJt1kc,2026-08-12,Renan Santos,MISSÃO,Candidato
IUmluPpBtkY,Começamos a construir algo grandioso!,2026-08-11T21:00:39Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",19585,3054,108,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=IUmluPpBtkY,2026-08-12,Renan Santos,MISSÃO,Candidato
6JD9RNDh8f4,Vazou as primeiras imagens do surubão dos políticos.,2026-08-11T18:00:32Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",247468,27960,1157,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=6JD9RNDh8f4,2026-08-12,Renan Santos,MISSÃO,Candidato
4MBxqsH0xQw,URGENTE: batemos 10%!!,2026-08-11T15:00:27Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",87007,13733,646,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=4MBxqsH0xQw,2026-08-12,Renan Santos,MISSÃO,Candidato
xydl3RIUVok,Não precisamos ser escravos do bolsonarismo e do petismo.,2026-08-10T20:30:37Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",76090,8333,344,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=xydl3RIUVok,2026-08-12,Renan Santos,MISSÃO,Candidato
TiZfYkuXOGc,BATEMOS 10%! | ANÁLISES RENAIS | 10/08/2026,2026-08-10T19:40:24Z,"Faça parte da vaquinha! http://queroapoiar.com.br/renan

Compre seu Livro Amarelo http://livroamarelo.org.br

Faça seu pix agora https://doe.missao.org.br/

Entre nos grupos de zap!
http://renansantosmbl.com/zap

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",125498,20884,466,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=TiZfYkuXOGc,2026-08-12,Renan Santos,MISSÃO,Candidato
KdzrMY_QPiE,RENAN SANTOS VISITA UMA FAZENDA NO PANTANAL,2026-08-10T19:22:16Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",17954,2765,176,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=KdzrMY_QPiE,2026-08-12,Renan Santos,MISSÃO,Candidato
dhxWlF2ueqc,Fui cancelado pela Andréia Sadi.,2026-08-10T15:00:22Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",367427,36027,1374,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=dhxWlF2ueqc,2026-08-12,Renan Santos,MISSÃO,Candidato
VEb_ZJ1fUb4,Temos que colocar todos os NOSSOS GOVERNADORES NOS DEBATES,2026-08-10T11:00:06Z,,39019,6214,184,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=VEb_ZJ1fUb4,2026-08-12,Renan Santos,MISSÃO,Candidato
09wYFZ-9Mqc,Primeira Aparição minha em debate!,2026-08-10T03:10:51Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",215433,22412,714,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=09wYFZ-9Mqc,2026-08-12,Renan Santos,MISSÃO,Candidato
